id,Title,Type,Category,Source,Link,Length,Date,Coutry,Language,Relevance,Notes,,,,,,,
84,New Youth Value Theory-Interaction Designer,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/z08696uxqi5.html,0:37,2020-04-04,Mainland China,Mandarin,,"Interview: ""Love design, polish products with ingenuity ...""",Wrong link,,,,,,
85,New Youth Value Theory-AI Architect,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/g0869t868vc.html,0:21,2020-04-04,Mainland China,Mandarin,,"Interview: ""I am a young man born of cloud""",,,,,,,
86,New Youth Value Theory-Developer Operations Specialist,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/n0869ywitmg.html,0:35,2020-04-04,Mainland China,Mandarin,,"Interview: ""Runyu is silent, with a dream, there is a future.""",,,,,,,
87,New Youth Value Theory-Computer Vision Algorithm Engineer,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/u08697941mz.html,0:48,2020-04-04,Mainland China,Mandarin,,"Interview:""More difficult than the visual algorithm, it is not to control the Punk fan, but to record this interview ..""",,,,,,,
88,New Youth Value Theory-Internet Industry Evangelist,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/u0869vkslwb.html,0:40,2020-04-04,Mainland China,Mandarin,,"Interview: ""Youth forces are promoting the progress of the country, promoting social harmony, and making silent contributions to building a better connected world""",,,,,,,
89,HDC.Cloud Huawei · Chief Intelligent Application Senior Expert Bai Tao,Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/a0939uujhj3.html,2:12,2020-04-04,Mainland China,Mandarin,,"Interview:""He believes that artificial intelligence will help people better perceive the world, and the power of technology will eventually promote the arrival of the intelligent era.""",,,,,,,
90,Counting stars in AI: Huawei cloud crosses the starry sky barrier,Video,AI/Machine learning; Cloud; Societal implications,Huawei,https://v.qq.com/x/cover/mzc00200hitkrji/r3029b2pwtz.html,1:15,2020-04-04,Mainland China,Mandarin,,,,,,,,,
91,Chinese Cosmotech - Government [TURN ON CC],Video,Politics/Government,Unknown / Youtube,https://www.youtube.com/watch?v=GBCaVhYADgY,3:13,2020-04-06,Mainland China,Mandarin / English,3,Video loosely based on the work of Yuk Hui in The Question Concerning Technology in China: An Essay in Cosmotechnics.,,,,,,,
92,Chinese Cosmotech – Online Shopping [TURN ON CC],Video,Politics/Government,Unknown / Youtube,https://www.youtube.com/watch?v=LtKRtePj-7w,1:27,2020-04-06,Mainland China,Mandarin / English,3,Video loosely based on the work of Yuk Hui in The Question Concerning Technology in China: An Essay in Cosmotechnics.,,,,,,,
93,Chinese Cosmotech - Streaming [TURN ON CC],Video,Politics/Government,Unknown / Youtube,https://www.youtube.com/watch?v=uau0KlZKODE,2:19,2020-04-06,Mainland China,Mandarin / English,3,Video loosely based on the work of Yuk Hui in The Question Concerning Technology in China: An Essay in Cosmotechnics.,,,,,,,
94,Chinese Cosmotech - Delivery [TURN ON CC],Video,Politics/Government,Unknown / Youtube,https://www.youtube.com/watch?v=QMFvqzTkWog,1:21,2020-04-06,Mainland China,Mandarin / English,3,Video loosely based on the work of Yuk Hui in The Question Concerning Technology in China: An Essay in Cosmotechnics.,,,,,,,
95,Chinese Cosmotech - Rides [TURN ON CC],Video,Politics/Government,Unknown / Youtube,https://www.youtube.com/watch?v=qm9KXWqDrtA,2:57,2020-04-06,Mainland China,Mandarin / English,3,Video loosely based on the work of Yuk Hui in The Question Concerning Technology in China: An Essay in Cosmotechnics.,,,,,,,
96,【抖音】2019年解放軍國慶閱兵彩排訓練視頻合集，不得不說解放軍軍容軍紀是最強的Chinese army,Video,Politics/Government,TikTok,https://www.youtube.com/watch?v=Vzcbyn5RmVc,4:06,2020-04-06,Mainland China,Mandarin,,,,,,,,,
97,中國大陸女民兵建國70周年閱兵前夕演練 Chinese female militia rehearsal on the eve of the National Day military parade,Video,Politics/Government,Unknown / Youtube,https://www.youtube.com/watch?v=Z6qw842Qs9U,1:49,2020-04-06,Mainland China,Mandarin,,,,,,,,,
98,[中华人民共和国成立70周年] 民兵方队 | CCTV,Video,Politics/Government,CCTV,https://www.youtube.com/watch?v=u0N02oYGAag,0:33,2020-04-06,Mainland China,Mandarin,,,,,,,,,
99,【抖音里的中国军队】地表最强｜部队训练实拍 CHINESE ARMY,Video,Politics/Government,TikTok,https://www.youtube.com/watch?v=vcbBBGaOXWU,8:05,2020-04-06,Mainland China,Mandarin,,,,,,,,,
100,【抖音里的中国军队】中国海军七十周年阅兵仪式#你不可错过的中国军队,Video,Politics/Government,TikTok,https://www.youtube.com/watch?v=XuyGRI3oNIg,8:38,2020-04-06,Mainland China,Mandarin,,,,,,,,,
101,[中华人民共和国成立70周年] 阅兵分列式 | CCTV,Video,Politics/Government,CCTV,https://www.youtube.com/watch?v=ofimgaO7Qck,49:39,2020-04-06,Mainland China,Mandarin,,,,,,,,,
102,2019年开训啦 中国人民解放军也玩抖音(TOK TIK) 1,Video,Politics/Government,TikTok,https://www.youtube.com/watch?v=PBR7S__kipY,10:33,2020-04-06,Mainland China,Mandarin,,,,,,,,,
103,中国人民解放军也玩抖音(TOK TIK) 2,Video,Politics/Government,TikTok,https://www.youtube.com/watch?v=6uWd14uoxdU,8:58,2020-04-06,Mainland China,Mandarin,,,,,,,,,
104,Explainer: Laser pointers as 'offensive weapons' in Hong Kong protests,Video,Societal implications,South China Morning Post,https://www.youtube.com/watch?v=Wrn6Ym9BG8s,3:05,2020-04-07,Hong Kong,English / Cantonese,,,,,,,,,
105,How Hong Kong Protesters Evade Surveillance With Tech | WSJ,Video,Societal implications,Wall Street Journal,https://www.youtube.com/watch?v=32KTKXZZ-BI,6:46,2020-04-07,Hong Kong,English,,,,,,,,,
106,Radical Protesters Endanger Officers' Safety with Laser: HK Police,Video,Societal implications,CCTV,https://www.youtube.com/watch?v=sqqa6B9JvHQ,2:23,2020-04-07,Hong Kong,English,,Chinese point of view,,,,,,,
107,How Lasers Impact Surveillance Cameras - Hong Kong,Video,Societal implications,IPVM,https://www.youtube.com/watch?v=wREpnGqEhSM,2:24,2020-04-07,Hong Kong,English,,Technical test performed by a CCTV producer,,,,,,,
108,How China Is Using Artificial Intelligence in Classrooms | WSJ,Video,AI/Machine learning; Education; Surveillance,Wall Street Journal,https://www.youtube.com/watch?v=JMLsHI8aV0g,5:43,2020-04-09,Mainland China,Mandarin,,,,,,,,,
109,Shenzhen: The Silicon Valley of Hardware (Full Documentary) | Future Cities | WIRED,Video,AI/Machine learning; Societal implications,WIRED,https://www.youtube.com/watch?v=SGJ5cZnoodY&t=2s,1:07:50,2020-04-09,Mainland China,English / Mandarin,,Some info about shanzhai at 35:02,,,,,,,
110,China's power of digital propaganda,Video,Politics/Government,Sky News,https://www.youtube.com/watch?v=IjPfHrX3b5Y,3:47,2020-04-10,Mainland China,English,,,,,,,,,
111,China uses drones to warn its citizens about coronavirus,Video,Health; Robotics,TRT World,https://www.youtube.com/watch?v=3-eM4IM-PfY,1:09,2020-04-10,Mainland China,English,,,,,,,,,
112,How is Artificial Intelligence changing China?,Video,AI/Machine learning,CGTN,https://www.youtube.com/watch?v=cu731-8Bj60,29:39,2020-04-16,Mainland China,English / Mandarin,,,,,,,,,
113,"探寻人工智能001: 机器的逆袭
上传于 ('Exploring Artificial Intelligence 001: The Counterattack of Machines')",Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE1ODIxMjA1Mg,26:47,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
114,探寻人工智能002: 第三次浪潮 ('Exploring Artificial Intelligence 002: The Third Wave'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE1OTAwNTUyMA,26:46,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
115,探寻人工智能003: 了不起的行动派 ('Exploring Artificial Intelligence 003: Amazing Action'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE1OTEwMTc1Ng,26:47,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
116,探寻人工智能004: 来到你身边 ('Exploring Artificial Intelligence 004: Come to you'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE1OTU4MzgwMA,26:45,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
